shoe,price,links,date,source
Nike Dunk Low Championship Court Purple,A$298,www.stockx.com/nike-dunk-low-championship-court-purple,18/10/2022,StockX
Nike SB Dunk Low Philadelphia Phillies,A$281,www.stockx.com/nike-sb-dunk-low-valour-blue-team-maroon,18/10/2022,StockX
Nike Dunk Low Essential Paisley Pack Barley (W),A$190,www.stockx.com/nike-dunk-low-essential-paisley-pack-barley,18/10/2022,StockX
Nike Dunk Low Next Nature Homer Simpson (GS),A$147,www.stockx.com/nike-dunk-low-next-nature-home-simpson-gs,18/10/2022,StockX
Nike KD 14 Aunt Pearl,A$229,www.stockx.com/nike-kd-14-aunt-pearl,18/10/2022,StockX
Nike Court Legacy Lift Pearl White Phantom (W),A$122,www.stockx.com/nike-court-legacy-lift-pearl-white-phantom-w,18/10/2022,StockX
Jordan 1 Low Mocha,A$303,www.stockx.com/air-jordan-1-low-mocha,18/10/2022,StockX
Jordan 1 Retro Low Golf Wolf Grey,A$221,www.stockx.com/air-jordan-1-retro-low-golf-wolf-grey,18/10/2022,StockX
Jordan 4 Retro Infrared (GS),A$310,www.stockx.com/air-jordan-4-retro-infrared-gs,18/10/2022,StockX
New Balance 550 White Grey Dark Grey,A$184,www.stockx.com/new-balance-550-white-grey-dark-grey,18/10/2022,StockX
Jordan 12 Retro Hyper Royal (W),A$231,www.stockx.com/air-jordan-12-retro-hyper-royal-w,18/10/2022,StockX
Jordan 4 Retro Lightning (2021),A$443,www.stockx.com/air-jordan-4-retro-lightning-2021,18/10/2022,StockX
adidas Yeezy Boost 350 V2 Sesame,A$416,www.stockx.com/adidas-yeezy-boost-350-v2-sesame,18/10/2022,StockX
Nike Lebron 20 Miami Heat,A$356,www.stockx.com/nike-lebron-20-miami-heat,18/10/2022,StockX
adidas Yeezy Boost 350 V2 Dazzling Blue,A$383,www.stockx.com/adidas-yeezy-boost-350-v2-dazzling-blue,18/10/2022,StockX
Jordan 9 Retro Particle Grey,A$346,www.stockx.com/air-jordan-9-retro-particle-grey,18/10/2022,StockX
Nike Dunk Low Patent Halloween (W),A$200,www.stockx.com/nike-dunk-low-patent-halloween-w,18/10/2022,StockX
Nike Dunk Low Team Red (2022),A$262,www.stockx.com/nike-dunk-low-team-red,18/10/2022,StockX
Nike Dunk Low Dark Beetroot,A$177,www.stockx.com/nike-dunk-low-dark-beetroot,18/10/2022,StockX
Jordan 1 Retro High OG Atmosphere (W),A$315,www.stockx.com/air-jordan-1-retro-high-og-atmosphere-w,18/10/2022,StockX
adidas Yeezy Boost 350 V2 MX Rock,A$413,www.stockx.com/adidas-yeezy-boost-350-v2-mx-rock,18/10/2022,StockX
Nike Air Max 1 Travis Scott Cactus Jack Saturn Gold,A$296,www.stockx.com/nike-air-max-1-travis-scott-wheat,18/10/2022,StockX
Puma LaMelo Ball MB.01 Be You,A$250,www.stockx.com/puma-lamelo-ball-mb01-be-you,18/10/2022,StockX
adidas Yeezy 450 Utility Black,A$368,www.stockx.com/adidas-yeezy-450-utility-black,18/10/2022,StockX
New Balance 550 White Grey (GS),A$165,www.stockx.com/new-balance-550-white-grey-gs,18/10/2022,StockX
Jordan 1 Low SE Light Olive (W),A$262,www.stockx.com/air-jordan-1-low-se-light-olive-w,18/10/2022,StockX
Nike Dunk Low Pink Foam Black (W),A$220,www.stockx.com/nike-dunk-low-pink-foam-black-w,18/10/2022,StockX
adidas Yeezy Foam RNNR Ochre,A$256,www.stockx.com/adidas-yeezy-foam-rnnr-ochre,18/10/2022,StockX
Jordan 1 Mid Light Smoke Grey Anthracite,A$253,www.stockx.com/air-jordan-1-mid-light-smoke-grey-anthracite,18/10/2022,StockX
Jordan 1 High Element Gore-Tex Light Bone,A$337,www.stockx.com/air-jordan-1-high-element-gore-tex-light-bone,18/10/2022,StockX
adidas Yeezy Foam RNNR Sulfur,A$242,www.stockx.com/adidas-yeezy-foam-rnnr-sulfur,18/10/2022,StockX
adidas Yeezy 500 Blush,A$391,www.stockx.com/adidas-yeezy-500-blush,18/10/2022,StockX
